-0.497500 4.999950 1.183245 28.999592
-0.492500 4.999950 1.183245 28.999592
-0.487500 4.999924 1.183259 28.999382
-0.482500 4.999886 1.183281 28.999074
-0.477500 4.999831 1.183312 28.998628
-0.472500 4.999752 1.183357 28.997988
-0.467500 4.999640 1.183421 28.997080
-0.462500 4.999484 1.183510 28.995807
-0.457500 4.999266 1.183634 28.994043
-0.452500 4.998969 1.183804 28.991628
-0.447500 4.998566 1.184033 28.988360
-0.442500 4.998029 1.184340 28.983993
-0.437500 4.997318 1.184745 28.978228
-0.432500 4.996392 1.185273 28.970708
-0.427500 4.995199 1.185953 28.961023
-0.422500 4.993680 1.186819 28.948700
-0.417500 4.991772 1.187908 28.933216
-0.412500 4.989403 1.189260 28.913998
-0.407500 4.986498 1.190918 28.890436
-0.402500 4.982979 1.192928 28.861896
-0.397500 4.978764 1.195337 28.827737
-0.392500 4.973777 1.198189 28.787328
-0.387500 4.967941 1.201529 28.740067
-0.382500 4.961188 1.205398 28.685404
-0.377500 4.953455 1.209833 28.622852
-0.372500 4.944690 1.214867 28.552007
-0.367500 4.934853 1.220524 28.472553
-0.362500 4.923913 1.226826 28.384279
-0.357500 4.911855 1.233784 28.287070
-0.352500 4.898672 1.241406 28.180915
-0.347500 4.884373 1.249693 28.065897
-0.342500 4.868973 1.258638 27.942187
-0.337500 4.852500 1.268231 27.810035
-0.332500 4.834989 1.278457 27.669756
-0.327500 4.816481 1.289296 27.521720
-0.322500 4.797024 1.300727 27.366339
-0.317500 4.776668 1.312725 27.204056
-0.312500 4.755466 1.325264 27.035333
-0.307500 4.733475 1.338318 26.860643
-0.302500 4.710748 1.351859 26.680462
-0.297500 4.687343 1.365858 26.495260
-0.292500 4.663311 1.380290 26.305498
-0.287500 4.638708 1.395127 26.111622
-0.282500 4.613582 1.410343 25.914060
-0.277500 4.587983 1.425915 25.713220
-0.272500 4.561957 1.441817 25.509489
-0.267500 4.535548 1.458027 25.303232
-0.262500 4.508796 1.474525 25.094790
-0.257500 4.481740 1.491291 24.884483
-0.252500 4.454416 1.508304 24.672608
-0.247500 4.426859 1.525548 24.459444
-0.242500 4.399098 1.543005 24.245246
-0.237500 4.371165 1.560661 24.030254
-0.232500 4.343085 1.578501 23.814688
-0.227500 4.314884 1.596511 23.598751
-0.222500 4.286585 1.614678 23.382634
-0.217500 4.258212 1.632990 23.166511
-0.212500 4.229784 1.651436 22.950544
-0.207500 4.201320 1.670004 22.734885
-0.202500 4.172838 1.688686 22.519673
-0.197500 4.144356 1.707470 22.305040
-0.192500 4.115890 1.726348 22.091108
-0.187500 4.087454 1.745310 21.877994
-0.182500 4.059063 1.764348 21.665807
-0.177500 4.030732 1.783453 21.454650
-0.172500 4.002475 1.802617 21.244626
-0.167500 3.974303 1.821830 21.035830
-0.162500 3.946232 1.841083 20.828357
-0.157500 3.918274 1.860369 20.622303
-0.152500 3.890443 1.879678 20.417762
-0.147500 3.862752 1.898999 20.214829
-0.142500 3.835216 1.918323 20.013602
-0.137500 3.807850 1.937639 19.814184
-0.132500 3.780670 1.956934 19.616684
-0.127500 3.753694 1.976195 19.421215
-0.122500 3.726939 1.995408 19.227903
-0.117500 3.700426 2.014557 19.036882
-0.112500 3.674178 2.033624 18.848301
-0.107500 3.648219 2.052588 18.662325
-0.102500 3.622577 2.071428 18.479134
-0.097500 3.597283 2.090117 18.298932
-0.092500 3.572372 2.108627 18.121943
-0.087500 3.547881 2.126927 17.948417
-0.082500 3.523852 2.144980 17.778628
-0.077500 3.500332 2.162746 17.612877
-0.072500 3.477370 2.180184 17.451487
-0.067500 3.455020 2.197247 17.294798
-0.062500 3.433334 2.213887 17.143158
-0.057500 3.412368 2.230055 16.996910
-0.052500 3.392173 2.245705 16.856375
-0.047500 3.372793 2.260793 16.721826
-0.042500 3.354262 2.275285 16.593464
-0.037500 3.336603 2.289155 16.471402
-0.032500 3.319821 2.302390 16.355646
-0.027500 3.303907 2.314990 16.246096
-0.022500 3.288839 2.326964 16.142567
-0.017500 3.274586 2.338331 16.044815
-0.012500 3.261113 2.349112 15.952575
-0.007500 3.248387 2.359328 15.865586
-0.002500 3.234591 2.369384 15.787046
0.002500 2.742515 2.795522 12.512559
0.007500 2.731196 2.805969 12.440331
0.012500 2.719396 2.816897 12.365159
0.017500 2.707123 2.828303 12.287119
0.022500 2.694391 2.840179 12.206307
0.027500 2.681213 2.852517 12.122833
0.032500 2.667608 2.865307 12.036821
0.037500 2.653593 2.878536 11.948405
0.042500 2.639188 2.892191 11.857726
0.047500 2.624414 2.906257 11.764931
0.052500 2.609293 2.920719 11.670174
0.057500 2.593848 2.935560 11.573614
0.062500 2.578102 2.950763 11.475413
0.067500 2.562079 2.966309 11.375734
0.072500 2.545804 2.982178 11.274742
0.077500 2.529301 2.998353 11.172601
0.082500 2.512593 3.014813 11.069472
0.087500 2.495706 3.031540 10.965511
0.092500 2.478660 3.048514 10.860866
0.097500 2.461479 3.065717 10.755682
0.102500 2.444182 3.083133 10.650091
0.107500 2.426790 3.100743 10.544220
0.112500 2.409320 3.118534 10.438184
0.117500 2.391789 3.136490 10.332092
0.122500 2.374213 3.154597 10.226042
0.127500 2.356606 3.172843 10.120122
0.132500 2.338981 3.191216 10.014416
0.137500 2.321351 3.209705 9.908995
0.142500 2.303725 3.228301 9.803928
0.147500 2.286114 3.246995 9.699272
0.152500 2.268527 3.265778 9.595081
0.157500 2.250971 3.284643 9.491404
0.162500 2.233455 3.303583 9.388281
0.167500 2.215984 3.322591 9.285752
0.172500 2.198564 3.341662 9.183848
0.177500 2.181201 3.360792 9.082599
0.182500 2.163899 3.379974 8.982032
0.187500 2.146662 3.399204 8.882169
0.192500 2.129496 3.418480 8.783029
0.197500 2.112401 3.437797 8.684629
0.202500 2.095383 3.457151 8.586986
0.207500 2.078443 3.476541 8.490111
0.212500 2.061585 3.495963 8.394015
0.217500 2.044809 3.515414 8.298708
0.222500 2.028119 3.534893 8.204197
0.227500 2.011515 3.554397 8.110489
0.232500 1.994999 3.573925 8.017588
0.237500 1.978574 3.593474 7.925500
0.242500 1.962239 3.613043 7.834227
0.247500 1.945995 3.632631 7.743771
0.252500 1.929845 3.652236 7.654133
0.257500 1.913788 3.671856 7.565315
0.262500 1.897825 3.691492 7.477316
0.267500 1.881958 3.711141 7.390135
0.272500 1.866185 3.730802 7.303772
